demo_id,nome,cluster,trl,descrizione_estesa,tipo_dimostratore,pp_original,spoke
SPOKE3_DEMO_007,Smart Water Platform with IRRIFRAME Integration,AgriFood,7,Digital platform for water resource management in agriculture.,Software platform,PP 3.3.1,3
SPOKE3_DEMO_006,Nature-Based Erosion Control System,AgriFood,7,Erosion control system using nature-based solutions.,Physical demonstrator,PP 3.2.1,3
SPOKE3_DEMO_004,WoodTrace 4.0 - Blockchain Platform for Forest-Wood Supply Chain,AgriFood,7,Blockchain platform for forest-wood supply chain traceability.,Software,PP 3.2.1,3
SPOKE3_DEMO_014,PASCOLO - IoT Livestock Monitoring System,AgriFood,7,IoT device for ruminant monitoring.,Physical demonstrator (IoT wearable),PP 3.1.1,3
SPOKE3_DEMO_001,Experimental Field Platform - Multiple Cropping System (MCS),AgriFood,7,Experimental field platform for agroecological cropping models.,Physical demonstrator,PP 3.1.1,3
SPOKE3_DEMO_002,ICT FARM-TECH Platform - GeoNode-Based,AgriFood,7,ICT platform for sustainable agriculture monitoring.,Software platform,PP 3.1.1,3
SPOKE3_DEMO_010,Smart Food ICT Platform - Blockchain-IoT-Web Integration,AgriFood,7,Smart food ICT platform with blockchain and IoT.,Physical demonstrator,PP 3.4.2 and PP 3.4.3,3
SPOKE3_DEMO_009,Prototype ICT Systems for Environmental Data in Agri-Food Sites,AgriFood,7,Prototype ICT systems for environmental data acquisition.,Software,PP 3.4.1,3
SPOKE3_DEMO_008,Smart Insect Farming System for Food Production,AgriFood,7,Smart system for insect farming for food use.,Physical demonstrator,PP 3.4.1,3
SPOKE3_DEMO_005,Floating Hydroponic Greenhouse with Renewable Energy,AgriFood,6,Hydroponic greenhouse on floating platform.,Physical demonstrator,PP 3.1bis.1,3
SPOKE3_DEMO_012,Hermetia Lucens Bioconversion System for Insect Flour Production,AgriFood,6,Hermetia lucens cultivation for insect flour production.,Physical demonstrator,PP 3.5.1,3
SPOKE3_DEMO_011,Orange Peel Waste Full Valorization Technologies,AgriFood,6,Technologies for full valorization of orange peel waste.,Physical demonstrator,PP 3.5.1,3
SPOKE3_DEMO_003,GreenHouse Smart Platform for Soilless Cultivation and Robotic Harvesting,AgriFood,6,Smart platform for automated soilless cultivation.,Physical demonstrator,PP 3.1.1,3
SPOKE2_DEMO_040,Experimental Plant for Lithium Battery Recycling,Circular,8,Experimental plant for lithium battery recycling.,Physical demonstrator,PP 2.4.1,2
